0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.7416,5.0033,5.4408,6.1372,6.9898,7.8984,8.4501,9.1989,9.8723,10.483,10.957,11.99,12.433,12.776,13.216,13.825,14.623,15.911,17.272,18.599,18.618,19.318,20.426,21.608,22.518,23.481,25.267,26.414,27.263,27.673,28.578,29.448,31.598,33.816,35.172,36.192,39.356,39.366,40.116,40.938,41.228,42.208,42.968,43.948,45.237,45.977,47.057,48.297,49.257,51.357,51.927
1.2,2.9503,3.721,4.5893,5.1075,5.8351,7.1446,8.1513,8.55,9.1061,9.5854,10.137,10.738,11.274,11.919,12.447,12.933,13.176,13.537,14.16,14.805,15.141,15.493,15.926,16.584,17.033,17.922,18.607,19.236,19.736,20.917,21.397,22.227,22.774,23.592,24.501,25.061,25.734,25.994,26.454,26.958,27.318,27.948,28.718,29.488,31.538,32.967,33.997,34.897,35.767,37.715,40.362
1.4,1.9991,3.4768,3.9161,4.5154,5.1839,6.8364,7.3212,8.0728,8.8301,9.3446,9.6873,10.006,10.337,10.918,11.157,11.667,12.09,12.565,13.138,13.376,13.73,14.178,15.098,15.356,15.898,16.381,17.797,17.807,18.308,18.955,19.135,19.436,19.872,20.329,20.912,21.619,22.733,23.674,25.373,26.043,26.563,27.256,27.822,28.662,30.045,31.375,32.185,32.925,35.292,37.082,37.362
1.6,2.0818,3.0386,3.6232,4.2397,4.6669,5.2749,6.1202,6.4923,6.8641,7.1708,7.5496,7.8483,8.2923,8.8817,9.2328,9.9963,10.32,10.672,11.092,11.435,11.897,12.478,12.893,14.467,14.515,14.925,15.398,15.96,16.534,16.94,17.978,18.802,19.168,19.561,20.159,21.16,21.89,22.45,22.89,24.023,24.623,24.933,25.376,25.946,27.855,28.195,28.735,29.565,30.365,31.965,32.765
1.8,1.8559,3.0998,4.0609,4.3118,4.7134,5.2064,5.4542,5.8722,6.2211,6.5411,6.8715,7.4076,8.921,9.5077,9.5989,9.8102,10.138,10.373,10.651,10.897,11.358,12.15,12.679,13.206,13.214,13.659,14.633,15.012,15.254,15.564,16.168,16.829,17.606,17.981,18.372,19.01,19.505,20.133,20.58,20.89,21.482,21.807,22.52,23.896,24.846,25.417,26.481,27.301,27.681,28.931,29.741
2,2.2625,3.2492,3.6056,3.7585,4.1456,4.3982,4.7487,5.2543,5.4478,6.1136,6.6304,7.7763,8.2075,8.5803,8.8406,9.7578,10.128,10.592,10.946,11.286,11.567,11.801,12.142,12.595,12.929,13.23,13.592,13.957,14.421,14.889,15.1,15.369,15.768,16.06,16.499,17.079,17.466,17.947,18.442,18.63,19.183,19.633,19.743,20.169,20.781,21.411,22.096,22.746,23.316,24.466,25.186
2.2,1.6694,3.0304,3.5263,3.9062,4.4814,4.9466,5.4493,5.7545,5.8289,6.1623,6.8064,7.3413,7.9141,8.473,8.8741,10.002,10.364,10.678,10.883,11.144,11.45,12.148,12.654,13.002,13.352,13.401,13.727,14.005,14.465,14.97,15.55,15.961,15.997,16.41,16.877,17.631,18.765,19.801,20.237,20.858,21.849,22.417,23.231,23.882,24.641,25.29,26.02,26.891,27.51,28.58,29.12
2.4,1.9468,2.2427,2.5911,2.8353,4.0911,4.3801,4.6205,5.0615,5.3622,5.5993,5.7277,5.9564,6.2185,6.5849,6.6101,6.9388,7.1889,7.5396,8.2488,8.5664,8.8947,9.181,9.3895,10.013,10.32,10.792,11.429,11.853,12.347,12.999,13.578,13.871,14.059,14.374,14.707,15.182,15.27,15.791,16.478,16.991,17.308,17.658,18.135,19.148,19.537,20.227,20.612,21.007,21.447,22.377,23.087
2.6,1.8962,2.5385,3.1169,3.9538,4.6573,4.9348,5.4168,5.702,6.1669,6.6907,6.9003,7.0901,7.6157,8.2466,8.6963,9.1989,9.4205,9.5949,9.9357,10.133,10.518,11.032,11.348,11.626,12.307,12.462,12.67,12.957,13.249,13.93,14.321,14.563,14.918,15.249,15.788,16.002,16.352,16.86,17.393,17.756,17.958,18.327,19.382,20.005,20.663,21.258,21.883,22.533,22.873,23.853,24.463
2.8,1.3796,1.76,2.4419,2.7084,2.9583,3.3775,4.0183,4.5106,4.8528,5.1194,5.4319,5.6954,6.0227,6.4413,6.6369,6.9237,7.152,7.3897,7.6104,7.8178,8.1164,8.4919,8.7582,8.9313,9.6985,10.023,10.217,10.555,10.81,11.17,11.485,11.693,11.989,12.268,12.348,12.622,13.104,13.858,14.341,14.603,15.026,15.244,15.554,16.432,17.037,18.083,18.664,18.975,19.738,21.043,21.103
